"env","PC1 SERC","PC2 SERC","PC1 WFDP","PC2 WFDP","PC1 TRCP","PC2 TRCP"
"Al",-0.296750977610429,0.163590719963138,-0.0822348576416844,0.494600225862376,-0.28323386817602,-0.0012624579957972
"BS",0.363836540826248,-0.104981552267466,0.361347772806655,-0.151160607865413,0.313846417110856,0.0125146804243314
"Ca",0.418952978328299,0.0142585900714337,0.358269624271119,0.0305182190734093,0.308099568174851,0.143358138188608
"ECEC",0.294278251644922,0.26196810035729,0.324996888288417,0.16497986344966,0.299617901997711,0.144720084810312
"Fe",-0.176004200871296,0.371742894206203,-0.0715053821345835,0.378017632290363,-0.26396690152589,0.114413549597963
"K",0.309655452675013,0.155170937505938,0.250934113380094,0.270561364402296,0.292389942025297,0.00536404289220743
"Mg",0.328640657462869,0.222480655078859,0.369915324855217,-0.021250704949264,0.294297714319062,-0.00915611399418597
"Mn",0.040294596240657,0.190367920129815,0.0924350658561579,0.255089638001135,0.21089792656249,-0.0912681141754408
"Na",-0.00702967565813188,0.402526323509092,0.13222938029425,-0.0206601525883014,-0.0344194069765522,0.00905808494153059
"NH4",-0.0631550181533679,0.362340716437117,0.273904520961715,0.139638905908431,-0.0172516624920208,0.624946478439975
"TotN",-0.0519770678673504,0.393277119180736,0.295905926770848,0.12462424468207,0.00282692482245603,0.627052463739782
"P",-0.00643098543943124,-0.00882292738763783,-0.00104108009716264,0.384798185076206,0.1976708819998,0.04296371253948
"pHCaCl2",0.30167108117586,-0.238913176371546,0.154180847482454,-0.438944277988368,0.316646736065462,0.0053328243560672
"TEB",0.413720031874926,0.107570848481635,0.370744379711759,-0.036235327810452,0.310819103217306,0.129590322361525
"cos_aspect",-0.000610768417116124,0.041952365317155,0.00770583127122317,-0.00905385867626798,0.147442731506339,-0.140608996293216
"sin_aspect",-0.0134781291311905,0.0333403531800504,-0.0162645419049767,0.0415409685762908,0.200419960518966,-0.0387829114495276
"convexity",-0.0100417299233084,-0.0710913941941643,-0.0795011048987847,0.208193372812236,-0.143484385905804,0.126555396050224
"elev_mean",-0.0373734169287232,-0.347403509298328,-0.242762903643931,0.00105512713568168,-0.141025318582708,0.303657912909442
"slope",0.101577229939719,0.00701715560914961,-0.0913869919847718,-0.00912491911651116,-0.102479772896756,-0.0693619499715572
