"PC1","PC2","trait"
0.131010172526235,-0.145002795989244,"Alcohols.and.polyols"
0.258920804087847,-0.135252641295705,"Benzenoids"
0.412324319102471,-0.118469450260594,"Organic.acids.and.derivatives"
0.413063711663251,-0.114974099629697,"Organoheterocyclic.compounds"
0.398301449682684,-0.232232145035822,"Other.glycosides"
0.319914726604162,-0.181516941607882,"Phenolic.glycosides"
0.268509017400704,-0.234112209105675,"Phenylpropanoids.and.polyketides"
0.297942023048816,0.269003209124098,"Prenol.lipids..terpenoids"
0.281795350161427,0.375092955095094,"Steroids.and.steroid.derivatives"
-0.224264366687974,-0.365377672192963,"LeafSize"
-0.0884637664661083,-0.437010754078479,"SLA"
-0.0268386556928194,-0.294884995493027,"LWC"
0.0937273156275493,0.343385836456648,"BarkThickness"
-0.0747485974970335,-0.190780845545246,"WoodDensity"
0.026190070055438,0.113723981397229,"SeedMassKEW"
