"trait","site","r2","part"
"func","TRCP",0.00787519281751903,"env"
"func","TRCP",0.786493489448532,"both"
"func","TRCP",0.107461242646961,"sp"
"func","TRCP",0.0981700750869877,"res"
"meta","TRCP",0.00791382889126535,"env"
"meta","TRCP",0.419531248374622,"both"
"meta","TRCP",0.420326592312763,"sp"
"meta","TRCP",0.152228330421349,"res"
"func","WFDP",0.000900496215123336,"env"
"func","WFDP",0.0770397830384011,"both"
"func","WFDP",0.34952470577761,"sp"
"func","WFDP",0.572535014968866,"res"
"meta","WFDP",-0.000317740056823945,"env"
"meta","WFDP",0.0837543685273936,"both"
"meta","WFDP",0.343676298513307,"sp"
"meta","WFDP",0.572887073016123,"res"
"func","SERC",0.0160188956273705,"env"
"func","SERC",0.204873345224027,"both"
"func","SERC",0.460048888801212,"sp"
"func","SERC",0.319058870347391,"res"
"meta","SERC",0.00887861900222897,"env"
"meta","SERC",0.209538503473383,"both"
"meta","SERC",0.48645924782756,"sp"
"meta","SERC",0.295123629696828,"res"
